"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"B1","26.7970","67.1830","BottomLayer","0"
"C1","33.9090","75.8190","BottomLayer","0"
"C2","36.8300","11.4300","BottomLayer","0"
"C3","38.9890","12.7000","BottomLayer","270"
"C4","32.5120","13.5890","BottomLayer","270"
"C5","23.1140","74.6760","BottomLayer","0"
"C6","51.6890","24.4251","TopLayer","270"
"C7","45.9740","49.5300","BottomLayer","270"
"C8","41.6560","49.4800","BottomLayer","270"
"C9","30.3530","39.6240","BottomLayer","270"
"C10","31.4960","39.6240","BottomLayer","270"
"C11","51.1810","30.8610","TopLayer","0"
"C12","37.3380","22.7330","TopLayer","270"
"C13","20.9550","34.7980","TopLayer","0"
"C14","34.0360","47.7520","TopLayer","135"
"C15","32.2580","46.2280","TopLayer","135"
"C16","29.2100","43.5610","TopLayer","225"
"C17","28.7020","39.2430","TopLayer","135"
"C18","39.2430","22.7330","TopLayer","90"
"C19","40.6400","22.7330","TopLayer","90"
"C20","28.3210","31.7500","TopLayer","45"
"C21","38.6080","41.0210","BottomLayer","90"
"C22","51.8160","32.3850","TopLayer","180"
"C23","40.5130","45.7200","TopLayer","270"
"C24","37.7190","39.2430","BottomLayer","180"
"C27","51.1810","65.5320","BottomLayer","90"
"C28","29.2100","30.8610","TopLayer","45"
"C29","33.7820","37.5920","BottomLayer","0"
"C30","31.7500","66.5480","BottomLayer","180"
"C31","20.5740","67.4370","BottomLayer","270"
"C32","24.5110","83.0580","TopLayer","270"
"C25_P1","46.8630","81.7880","TopLayer","180"
"C25_P2","47.4020","74.9701","TopLayer","180"
"C26_P1","48.6410","82.2960","TopLayer","90"
"C26_P2","47.3710","76.0730","TopLayer","180"
"D1","25.2730","80.5180","BottomLayer","270"
"D3","47.7520","78.8670","TopLayer","90"
"D4","23.1140","82.0420","BottomLayer","270"
"D5","26.0350","93.4720","TopLayer","270"
"D2_P1","53.2130","68.7070","TopLayer","180"
"D2_P2","43.4340","87.7570","TopLayer","0"
"F1_P1","43.8150","64.2245","TopLayer","270"
"F1_P2","40.7670","83.6035","TopLayer","90"
"FB1","29.5910","37.7190","BottomLayer","180"
"FB2","51.6890","27.4731","TopLayer","90"
"J1","36.0000","87.4600","TopLayer","180"
"J2","55.0500","50.0000","TopLayer","270"
"J3","16.9500","50.0000","TopLayer","270"
"J4","17.5000","82.2500","TopLayer","270"
"J5","46.9930","14.5060","TopLayer","0"
"J6","54.5000","82.2500","TopLayer","90"
"J7","24.8570","14.9510","TopLayer","180"
"J8","42.5450","55.2450","TopLayer","180"
"LS1","26.5430","53.0860","TopLayer","90"
"Q1","26.9240","48.0060","BottomLayer","180"
"Q4","42.1640","77.0180","TopLayer","270"
"Q5","50.1650","69.4690","TopLayer","90"
"Q3_P1","44.3940","69.0140","TopLayer","0"
"Q3_P2","43.9980","82.9840","TopLayer","0"
"R1","31.6230","68.9610","BottomLayer","180"
"R2","31.8770","67.6910","BottomLayer","180"
"R3","20.8280","67.3100","TopLayer","270"
"R4","44.5770","49.5300","BottomLayer","90"
"R5","43.0440","49.5300","BottomLayer","90"
"R6","43.8150","47.6250","TopLayer","90"
"R7","32.5120","17.1450","BottomLayer","90"
"R8","35.4330","18.7960","BottomLayer","180"
"R9","46.3550","43.5610","BottomLayer","270"
"R10","46.3550","46.4820","BottomLayer","90"
"R11","39.4970","18.2880","BottomLayer","90"
"R12","36.4490","21.3360","BottomLayer","270"
"R13","43.6880","40.3860","BottomLayer","90"
"R14","26.0350","90.9320","TopLayer","270"
"R15","26.0350","88.1380","BottomLayer","270"
"R16","40.5130","48.8950","TopLayer","90"
"R17","20.9550","36.3220","TopLayer","180"
"R18","27.0510","22.7330","TopLayer","270"
"R19","41.9100","18.9230","TopLayer","180"
"R20","52.0700","18.9230","TopLayer","0"
"R21","55.2450","30.2260","TopLayer","0"
"R22","55.2450","28.5433","TopLayer","0"
"R23","55.2450","26.8605","TopLayer","0"
"R24","55.2450","25.1778","TopLayer","0"
"R25","55.2450","23.4950","TopLayer","0"
"R30","44.4500","76.5810","TopLayer","90"
"R31","44.4500","74.0410","TopLayer","90"
"R32","41.9100","74.6760","TopLayer","0"
"R33","49.4030","66.6750","TopLayer","0"
"R34","55.4990","69.9770","TopLayer","270"
"R35","46.7758","88.9421","TopLayer","0"
"R36","42.1640","48.8950","TopLayer","90"
"R37","32.7660","65.2780","BottomLayer","0"
"R38","36.3220","28.8290","BottomLayer","90"
"R39","51.3080","57.1500","TopLayer","270"
"R40","52.8320","57.1500","TopLayer","270"
"R26_P1","53.2130","70.2310","TopLayer","0"
"R26_P2","45.5930","85.9790","TopLayer","270"
"R27_P1","46.9900","65.2780","TopLayer","0"
"R27_P2","42.9260","80.2640","TopLayer","180"
"R28_P1","45.8470","63.3730","TopLayer","90"
"R28_P2","45.7200","80.2640","TopLayer","180"
"R29_P1","51.8160","61.3410","TopLayer","180"
"R29_P2","38.8620","75.9460","TopLayer","0"
"RT2","23.2410","76.9620","BottomLayer","0"
"SD1","48.4625","24.9750","BottomLayer","270"
"SW1","21.1310","24.2570","TopLayer","180"
"SW2","21.1310","31.1150","TopLayer","180"
"TP2","28.5750","82.2960","BottomLayer","90"
"TP3","27.8130","88.6460","TopLayer","90"
"TP5","47.8790","68.3260","TopLayer","90"
"TP6","52.1970","64.1350","TopLayer","90"
"TP7","47.3710","91.5670","TopLayer","90"
"TP4_P1","51.1810","62.6110","TopLayer","90"
"TP4_P2","39.7510","73.9140","TopLayer","90"
"U1","40.0000","34.0000","TopLayer","315"
"U2","25.1460","27.9400","BottomLayer","180"
"U3","27.5590","74.0410","BottomLayer","0"
"U4","39.8780","35.6870","BottomLayer","180"
"U6","52.1970","66.1670","TopLayer","180"
"U7","36.0000","15.0000","BottomLayer","0"
"U8","43.6880","46.8630","BottomLayer","225"
"U11","55.0000","97.0000","TopLayer","180"
"U12","17.0000","97.0000","TopLayer","0"
"U5_P1","48.8290","62.5540","TopLayer","90"
"U5_P2","38.6740","78.8100","TopLayer","90"
"Y1","30.7340","41.4020","TopLayer","225"
"Y2","35.0520","44.9580","TopLayer","225"
